,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio
0,Badsha India Restaurant,200,4.4,1.00,15–35,India,€,"Calle De Embajadores,  28045",Centro
1,TUTTO PASTA!,26,2.8,2.50,40–60,Family Meals,€,"Calle De Núñez De Arce, 11, 28012",Centro
2,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Plaza Del Emperador Carlos V, 10, 28012",Centro
3,Scarlett Real Food,28,3.1,1.90,40–50,Postres,€,"C/ Preciados 36,  28013",Centro
4,La Tagliatella,15,3.9,0.90,25–35,Pizza,€,"Calle De Toledo 27,  28012",Centro
5,Fritz Foods,41,4.5,0.40,30–40,Pizza,€,"Calle De Luchana 17,  28010",Centro
6,Pizzart Luchana,28,3.1,1.90,50–60,Pizza,€,"Paseo De La Virgen Del Puerto, 45, 28005",Centro
7,Kahuna,25,4.6,1.40,45–55,Burritos,€,"Calle De La Aduana 25,  28013",Centro
8,Wacamole,50,3.9,0.90,40–50,De Latinoamérica,€,"Calle De Arriaza, 6, 28008",Centro
9,El Imperio de la Empanada,28,3.1,0.90,45–55,Empanada,€,"Calle De San Andrés, 26, 28004 ",Centro
10,Roost Chicken,28,3.1,1.40,45–55,Pollo,€,"Calle Mayor, 38, 28013",Centro
11,Popeyes,200,4.3,0.40,30–40,Pollo,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  28005",Centro
12,Papa John's,200,4.3,1.90,30–40,Pizza,€,"Calle De Cáceres 1, 28045",Centro
13,Comida china yonghe,50,4.3,2.40,40–50,China,€,"Calle Preciados, 29 , 28013",Centro
14,Taco Bell,145,4.3,0.90,30–40,Hamburguesas,€,"P.º De La Florida, 2,  28008 ",Centro
15,KFC - Principe Pio,28,3.1,1.40,50–60,Pollo,€,"Travesía De La Parada 6, 28015",Centro
16,EL LATÓN GRIS,66,3.7,0.90,45–55,Pollo,€€,"Calle De Mira El Sol, 1, 28005 ",Centro
17,TAMCOC,28,3.1,1.40,40–50,Italiana,€€€,"Calle De La Alianza 33,  28041",Centro
18,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Dos Hermanas, 22, 28012 ",Centro
19,La Alegría de la Huerta,28,3.1,0.90,25–35,Vegetariano,€,"Calle De Núñez De Arce 11, 28012",Centro
20,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Atocha, 64, 28012",Centro
21,Domino's,89,4.4,1.00,15–25 ,Pizza,€€,"Calle De Los Donados 2,  28013",Centro
22,Cor & Cor,28,3.1,0.40,30–40,Postres,€,"Calle De Carranza 3,  28004",Centro
23,Tiendas 7x24,70,4.6,1.90,50–60,Tienda,€,"Calle De Tudescos, 4, 28004",Centro
24,Super naan,28,3.1,0.90,50–60,India,€,"Calle Azabache, 6,  28019",Centro
25,Super Dog,25,3.7,0.90,30–50,Hamburguesas,€,"Calle Gran Vía, 16,  28004",Centro
26,Steak Burger,168,4.2,1.40,45–55,Americana,€,"Calle De La Cruz, 20,  28012",Centro
27,Galipan,23,4.2,0.90,45–55,Halal,€,"Calle Del Dr Cortezo, 7,  28012",Centro
28,El Turkito,200,4.1,0.90,30–40,Asiatica,€,"Paseo De Santa María De La Cabeza 14,  28012",Centro
